Company Name,Market Cap (₹ Cr),Price (₹),P/E Ratio,Financial Metric,Jun-25,Mar-26,Jun-26,YOY Growth (%),Extraction Date,Extraction Time
AU Small Finance,79009,1052,27.7,EBIDT,2302,2788,2982,30,7/28/2026,0:03:01
AU Small Finance,79009,1052,27.7,EPS,7.79,11.12,10.63,36,7/28/2026,0:03:01
AU Small Finance,79009,1052,27.7,Net profit,581,832,796,37,7/28/2026,0:03:01
AU Small Finance,79009,1052,27.7,Sales,4378,5019,5303,21,7/28/2026,0:03:01
Bhagyanagar Ind,1409,427,22.4,EBIDT,16.2,36.2,38.3,137,7/28/2026,0:03:01
Bhagyanagar Ind,1409,427,22.4,EPS,2.37,5.78,6.33,167,7/28/2026,0:03:01
Bhagyanagar Ind,1409,427,22.4,Net profit,7.57,18.5,20.2,168,7/28/2026,0:03:01
Bhagyanagar Ind,1409,427,22.4,Sales,486,735,705,45,7/28/2026,0:03:01
Birla Corpn.,7013,910,12.6,EBIDT,347,510,342,-1,7/28/2026,0:03:01
Birla Corpn.,7013,910,12.6,EPS,15.53,38.28,15.03,-3,7/28/2026,0:03:01
Birla Corpn.,7013,910,12.6,Net profit,120,295,116,-3,7/28/2026,0:03:01
Birla Corpn.,7013,910,12.6,Sales,2454,2836,2646,8,7/28/2026,0:03:01
Canara Bank,115387,127,5.8,EBIDT,18382,22968,22566,23,7/28/2026,0:03:01
Canara Bank,115387,127,5.8,EPS,3.52,5.04,5.71,62,7/28/2026,0:03:01
Canara Bank,115387,127,5.8,Net profit,3233,4575,5182,3,7/28/2026,0:03:01
Canara Bank,115387,127,5.8,Sales,31523,31839,32957,5,7/28/2026,0:03:01
Disha Resources,19.7,26.9,,EBIDT,-0.08,0.03,-0.1,-25,7/28/2026,0:03:01
Disha Resources,19.7,26.9,,EPS,-0.08,0.11,-0.1,-25,7/28/2026,0:03:01
Disha Resources,19.7,26.9,,Net profit,-0.06,0.08,-0.07,-17,7/28/2026,0:03:01
Disha Resources,19.7,26.9,,Sales,0.03,0.48,0.73,2333,7/28/2026,0:03:01
Essen Speciality,323,130,,EBIDT,3.52,-11.4,0.58,-84,7/28/2026,0:03:01
Essen Speciality,323,130,,EPS,0.72,-3.54,0.14,-81,7/28/2026,0:03:01
Essen Speciality,323,130,,Net profit,1.78,-8.8,0.36,-80,7/28/2026,0:03:01
Essen Speciality,323,130,,Sales,41.2,32.1,31.6,-23,7/28/2026,0:03:01
Exxaro Tiles,289,6.58,70.5,EBIDT,6.11,5.69,6.98,14,7/28/2026,0:03:01
Exxaro Tiles,289,6.58,70.5,EPS,0.02,0,0.05,150,7/28/2026,0:03:01
Exxaro Tiles,289,6.58,70.5,Net profit,0.81,0.2,2.07,156,7/28/2026,0:03:01
Exxaro Tiles,289,6.58,70.5,Sales,64.9,99.9,85.2,31,7/28/2026,0:03:01
Fairchem Organic,1040,806,68.9,EBIDT,5.23,8.03,17.9,242,7/28/2026,0:03:01
Fairchem Organic,1040,806,68.9,EPS,0.9,2.93,7.95,783,7/28/2026,0:03:01
Fairchem Organic,1040,806,68.9,Net profit,1.17,3.69,10,756,7/28/2026,0:03:01
Fairchem Organic,1040,806,68.9,Sales,131,117,176,34,7/28/2026,0:03:01
Five-Star Bus.Fi,15949,540,14.5,EBIDT,546,540,533,-2,7/28/2026,0:03:01
Five-Star Bus.Fi,15949,540,14.5,EPS,9.04,9.12,9.19,2,7/28/2026,0:03:01
Five-Star Bus.Fi,15949,540,14.5,Net profit,266,269,271,2,7/28/2026,0:03:01
Five-Star Bus.Fi,15949,540,14.5,Sales,787,817,829,5,7/28/2026,0:03:01
High Energy Bat.,517,576,37.7,EBIDT,0.74,11.7,-2.09,-382,7/28/2026,0:03:01
High Energy Bat.,517,576,37.7,EPS,0.87,8.47,-2.03,-333,7/28/2026,0:03:01
High Energy Bat.,517,576,37.7,Net profit,0.78,7.59,-1.82,-333,7/28/2026,0:03:01
